City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,4,6,+50%,20231222,Crash,1711474239,listeners
Chicago,1,1,0%,20231222,Crash,1711474239,listeners
Las Vegas,0,1,-,20231222,Crash,1711474239,listeners
Montréal,0,1,-,20231222,Crash,1711474239,listeners
Paris,0,1,-,20231222,Crash,1711474239,listeners
Tokyo,0,1,-,20231222,Crash,1711474239,listeners
Worcester,0,1,-,20231222,Crash,1711474239,listeners
Berlin,1,0,-100%,20231222,Crash,1711474239,listeners
Los Angeles,1,0,-100%,20231222,Crash,1711474239,listeners
Ottawa,1,0,-100%,20231222,Crash,1711474239,listeners
